Run,A* Time (s),Dijkstra Time (s),A* Path Length,Dijkstra Path Length
1,0.0,0.0,8,8
2,0.0,0.0,10,10
3,0.0,0.0,7,7
4,0.0,0.0,12,12
5,0.0,0.0,17,17
6,0.0,0.0009982585906982422,17,17
7,0.0,0.0,12,12
8,0.0,0.0,0,0
9,0.0,0.0010013580322265625,29,29
10,0.0,0.0,12,12
11,0.0,0.0,9,9
12,0.0,0.0,10,10
13,0.0,0.0,5,5
14,0.0,0.0011365413665771484,36,36
15,0.0,0.0,14,14
16,0.0,0.001010894775390625,9,9
17,0.0,0.0,20,20
18,0.0,0.0,6,6
19,0.0,0.0009987354278564453,14,14
20,0.0,0.0,5,5
21,0.0,0.0,21,21
22,0.0009992122650146484,0.0,27,27
23,0.0,0.0009996891021728516,21,21
24,0.0,0.0,6,6
25,0.0,0.0,20,20
26,0.0009963512420654297,0.0,20,20
27,0.0,0.0,12,12
28,0.0,0.0,7,7
29,0.0,0.0,4,4
30,0.0,0.0,18,18
31,0.0,0.0,20,20
32,0.0009949207305908203,0.0,21,21
33,0.0,0.0,8,8
34,0.0,0.0009920597076416016,22,22
35,0.0,0.0,30,30
36,0.0,0.0010178089141845703,21,21
37,0.0,0.0,12,12
38,0.0,0.0009911060333251953,25,25
39,0.0,0.0,7,7
40,0.0,0.0,7,7
41,0.0,0.0009989738464355469,16,16
42,0.0,0.0,16,16
43,0.0,0.0,7,7
44,0.0,0.0009937286376953125,22,22
45,0.0,0.0,12,12
46,0.0,0.0010008811950683594,12,12
47,0.0,0.0,31,31
48,0.0010004043579101562,0.0,26,26
49,0.0,0.0,0,0
50,0.0,0.0010166168212890625,13,13
51,0.0,0.0,19,19
52,0.0,0.0009891986846923828,26,26
53,0.0,0.0,22,22
54,0.0,0.0009999275207519531,14,14
55,0.0,0.0,9,9
56,0.0,0.0,17,17
57,0.0009975433349609375,0.0,30,30
58,0.0,0.0,3,3
59,0.0,0.0,14,14
60,0.0,0.0,11,11
61,0.0,0.0,6,6
62,0.0,0.0,26,26
63,0.0,0.0,4,4
64,0.00024056434631347656,0.0,19,19
65,0.0,0.0,9,9
66,0.0,0.0,7,7
67,0.0,0.0,4,4
68,0.0,0.0,3,3
69,0.0,0.001012563705444336,16,16
70,0.0,0.0,19,19
71,0.0,0.0,8,8
72,0.0009951591491699219,0.0,19,19
73,0.0,0.0,14,14
74,0.0,0.0010006427764892578,17,17
75,0.0,0.0,3,3
76,0.0,0.0,10,10
77,0.0,0.0,9,9
78,0.0,0.0010001659393310547,24,24
79,0.0,0.0,19,19
80,0.0,0.0009958744049072266,19,19
81,0.0,0.0,22,22
82,0.0,0.0010073184967041016,16,16
83,0.0,0.0,17,17
84,0.0,0.0,15,15
85,0.0,0.0,7,7
86,0.0,0.0,12,12
87,0.0,0.0,12,12
88,0.0,0.0,4,4
89,0.0,0.0010113716125488281,10,10
90,0.0,0.0,7,7
91,0.0,0.0,22,22
92,0.0009925365447998047,0.0,28,28
93,0.0,0.0,6,6
94,0.0,0.0010001659393310547,16,16
95,0.0,0.0,21,21
96,0.0010006427764892578,0.0,23,23
97,0.0,0.0,10,10
98,0.0,0.0009953975677490234,21,21
99,0.0,0.0,5,5
100,0.0,0.0,0,0
101,0.0,0.0010075569152832031,27,27
102,0.0,0.0,27,27
103,0.0,0.000993490219116211,14,14
104,0.0,0.0,26,26
105,0.0010104179382324219,0.0,23,23
106,0.0,0.0,7,7
107,0.0,0.0,6,6
108,0.0,0.0,3,3
109,0.0,0.0,9,9
110,0.0,0.0,24,24
111,0.0,0.0,6,6
112,0.0,0.0009996891021728516,14,14
113,0.0,0.0,19,19
114,0.0,0.0010006427764892578,20,20
115,0.0,0.0,13,13
116,0.0,0.0009927749633789062,18,18
117,0.0,0.0,4,4
118,0.0,0.0,15,15
119,0.0,0.0,13,13
120,0.0,0.0010166168212890625,25,25
121,0.0,0.0009829998016357422,24,24
122,0.0,0.0,3,3
123,0.0,0.0,6,6
124,0.0,0.0010137557983398438,9,9
125,0.0,0.0,26,26
126,0.0,0.0009918212890625,14,14
127,0.0,0.0,11,11
128,0.0,0.0,15,15
129,0.0,0.0009999275207519531,21,21
130,0.0,0.0,17,17
131,0.0,0.0009958744049072266,27,27
132,0.0,0.0,12,12
133,0.0,0.0009961128234863281,20,20
134,0.0,0.0,22,22
135,0.0,0.0010178089141845703,12,12
136,0.0,0.0,22,22
137,0.0,0.0009829998016357422,15,15
138,0.0,0.0,3,3
139,0.0,0.0,18,18
140,0.0,0.0010116100311279297,22,22
141,0.0,0.0,6,6
142,0.0,0.0,10,10
143,0.0,0.0,14,14
144,0.000995635986328125,0.0,24,24
145,0.0,0.0,12,12
146,0.0,0.0,5,5
147,0.0009992122650146484,0.0,2,2
148,0.0,0.0,20,20
149,0.0,0.0,4,4
150,0.0,0.0,7,7
151,0.000993490219116211,0.0,21,21
152,0.0,0.0010001659393310547,35,35
153,0.0,0.0,21,21
154,0.0,0.0010159015655517578,7,7
155,0.0,0.0,5,5
156,0.0,0.0,5,5
157,0.0,0.0,15,15
158,0.0,0.0,8,8
